Capacity_14,R5_AGI_OP_14,R5_AGI_AMP_14,R5_VACCUM_PRESSURE_14,R5_IN_LEVEL_14,R5_OUT_LEVEL_14,R5_IN_TEMP_14,R5_OUT_TEMP_14,R5_DELETA_TEMP_14,CPF_IN_PRESSURE_14,CPF_OUT_PRESSURE_14,R5_DELETA_PRESSURE_14,R5_IV_14,Capacity_15,R5_AGI_OP_15,R5_AGI_AMP_15,R5_VACCUM_PRESSURE_15,R5_IN_LEVEL_15,R5_OUT_LEVEL_15,R5_IN_TEMP_15,R5_OUT_TEMP_15,R5_DELETA_TEMP_15,CPF_IN_PRESSURE_15,CPF_OUT_PRESSURE_15,R5_DELETA_PRESSURE_15,R5_IV_15,z_Capacity_SUM,z_Capacity_DIFF,R1_TEMP,R1_HEATING_TEMP,R1_LEVEL,R1_PRESSURE,R1_REFLUX_RATIO,R2_TEMP,R2_LEVEL,R2_REFLUX_RATIO,SB_PPM,COA_PPM,R4_LEVEL,R4_TEMP,R4_AGI_OP,R4_PRESSURE,R4_AGI_AMP,R2_TEMP_OP,TI02_16_PV,EG_DROP,EG_DROP_SP,EG_DROP_OP,DEG_FLOW,DEG_FLOW_SP,DEG_FLOW_OP,FIC143_01_PV,FIC143_01_SP,FIC143_01_OP,TPA_DROP,IPA_FLOW,PASTE_AGI_AMP,DI_02_15_PV,MR_RATIO,PASTE_LEVEL,PASTE_LEVEL_SP,PASTE_LEVEL_OP,SIC_2202A_PV,SIC_2202B_PV,FRC02_15_PV,FRC02_15_SP,FRC02_15_OP,PA_PPM,FIC01_15_RATIO,LIC11_37_PV,LIC11_37_SP,LIC11_37_OP,TI11_38_PV,LRC04_06P_SP,LRC04_06P_OP,LRC04_06P_PV,TRC04_38_SP,TRC04_38_OP,TRC04_03_SP,TRC04_03_OP,FRC04_01_PV,FRC04_01_SP,FRC04_01_OP,PRC04_10H_SP,PRC04_10H_OP,TR04_02_PV,TI04_04_PV,SIC2306_PV,JR2306_PV,PI04_34_PV,PI04_36_PV,TI23_12_PV,TRC04_45_PV,TRC04_45_SP,TRC04_45_OP,LRC04_24P_SP,LRC04_24P_OP,LRC04_24P_PV,TRC04_22_SP,FRC04_20_PV,FRC04_20_SP,FRC04_20_OP,PR04_26_PV,SIC2307_PV,JR2307_PV,LRC05_12_PV,LRC05_12_SP,LRC05_12_OP,TRC05_30_PV,TRC05_30_SP,TRC05_30_OP,TRC05_26_PV,TRC05_26_SP,TRC05_26_OP,FRC05_14_PV,FRC05_14_SP,FRC05_14_OP,TI05_27_PV,TR05_13_PV,TI05_17_PV,TI05_09_PV,LRC06_05P_PV,LRC06_05P_SP,LRC06_05P_OP,LRC06_05_PV,PRC06_03A_PV,TRC06_06_PV,TRC06_06_SP,TRC06_06_OP,LRC06_13_SP,LRC06_13_OP,T1_PASTE_TIME,T2_R1_TIME,MR,9-1115,9-1109A,9-1109B,9-1112P,R2COOH,R4COOH,R5PCOOH_14,R5PIV_14,ColorL_14,ColorA_14,ColorB_14,9-1112F,R5PCOOH_15,R5PIV_15,ColorL_15,ColorA_15,ColorB_15,Z_R1_LEVEL_MW,Z_R1_LEVEL_RT,Z_PASTE_LEVEL_MW,Z_PASTE_LEVEL_RT,R1COOH
275.0,82.8,91.04451164,1.3508526619999999,3.805198687,1.814776854,279.4076843,282.6460266,3.238342285,32.22176794,14.32196284,17.91010217,0.555815569,275.0,86.3,88.37836047,1.302063941,1.7866915819999998,4.3322341710000005,278.69345089999996,281.4842834,2.79083252,55.3277579,39.30993884,16.0,0.558741092,550.0,26.75200942006258,264.11071780000003,322.20964810000004,74.69068699,0.879577055,4.3,265.57968,58.26520999,4.3,190.0,100.0,39.47019834,284.5012512,67.4,7.9712166920000005,35.33402791,37.417902591470714,67.85793304,8383.723166616755,8393.16448783631,46.29557104926697,111.1169618,111.38896170000001,72.8938238002436,33.33593594,33.29735962,29.94145519,16978.16162,270.8249068,44.30280905,1.395412445,1.33,64.19934035,64.0,56.84008218,32.78403093,32.76618791,28297.0,28296.0,32.77283923,50.0,1.33,49.78922196,50.0,20.377554192179495,86.16030884,74.0,78.6,74.69162463,322.1270467,57.40915108,264.0,92.03628319,6297.6346810000005,6282.749397,30.78962858,0.88,51.02102915,263.9552612,284.7024841,55.25215912,60.71848276,0.441514863,2.441114563,328.7550659,299.99014280000006,300.0,40.78348202,58.0,43.0,58.26804638,265.5,312.08995719999996,314.1908807,22.93691839,123.4906578,66.31651306,21.41625977,82.35968879,80.0,39.46422034,270.04684449999996,270.0,31.65850799,102.3291161,102.0,43.06279,4.2986492510000005,4.305777215,39.494233799999996,63.84048462,177.4739685,33.43212891,172.4214478,19.78198003,20.0,52.22560921,12.00092451,130.0779258,276.51677,276.5,53.52292766,40.0,62.0,111.55523899999999,157.62570730000002,1.08,2.1020480015104104,18.976939839015717,2.9955144915800798,1.5881362403152535,529.7997539177334,115.75297052208646,53.8,0.5571166601253356,62.9,-0.1,-1.0,1.6417326563409733,53.7,0.5507178941984947,64.3,-0.0399572465193099,-1.4,58911.613,154.24132,42701.39,111.8,1218.0
275.0,90.0,86.422228,1.239932438,3.180050824,3.446612069,279.4299622,282.4672546,3.03729248,31.60986965,14.44001204,17.17644397,0.547751226,275.0,89.6,87.51828852,1.282107952,1.2684680529999999,3.986627623,278.69345089999996,281.64065550000004,2.94720459,55.45939169,39.34452217,16.0,0.554759181,550.0,25.892504679977513,263.2446289,321.6298005,75.12893291,0.8805661109999999,4.3,265.5543013,57.63497644,4.3,190.0,100.0,39.39438999,284.5012512,67.6,7.986356402999999,34.81206632,38.654246841339464,63.27152252,7758.683142707497,7760.28850767078,43.2870570937784,98.50789943,98.30424832,72.61220438633707,30.44393732,29.98784911,26.70816929,15299.55482,251.7067276,47.0321514,1.3964024730000002,1.33,64.18504610000001,64.0,51.01336253,32.52345254,32.51437563,28145.0,28152.0,32.5359747,50.0,1.33,50.61156044,50.0,26.37575523974299,87.56820679,74.0,78.2,75.13111603,321.9708985,59.73641134,263.5,91.98917963,6248.458404999999,6247.128221,30.75883437,0.88,50.5396427,262.7783508,283.87521360000005,55.269958499999994,61.32508623,0.9529519759999999,2.619559712,326.89538569999996,300.1028442,300.0,42.35383348,58.0,53.43467634,57.64697091,265.5,310.556345,312.36168389999995,26.44954643,120.5090618,66.36102295,21.16705132,77.53422931,80.0,11.19990974,270.469696,270.0,33.21712775,101.734369,102.0,42.56760437,4.258762969,4.256809777,39.12307321,62.42181396,177.5387878,34.63153076,171.81741330000003,19.84782361,20.0,53.8499767,12.60118055,129.9652227,276.4843685,276.5,50.26333314,40.0,60.2,111.5643567,158.3126016,1.1,2.1126461736032462,18.958763786612472,3.0385859417568253,1.579998760177593,472.37275707089077,112.6,53.0,0.5573867828712982,62.6,0.1,-1.1,1.6373350914870621,52.8,0.54859377421138,65.0,-0.036662942043866144,-1.2,59191.105,154.97308,42693.395,111.77906999999999,1262.0
275.0,90.6,86.57532535,1.195895006,2.762418538,1.946912679,279.4299622,282.6683655,3.23840332,32.06310791,14.41265666,17.68002568,0.554540636,275.0,90.6,86.71961094,1.252101629,0.41179157899999996,3.494172404,278.67117310000003,281.5513,2.880126953,54.12311562,38.56361882,16.0,0.550118811,550.0,26.567633252691248,263.4666748,322.08224049999995,74.19267492,0.8802629240000001,4.3,265.655582,57.40479027,4.3,190.0,95.0,38.04840194,284.52359010000004,67.9,7.970466647,35.12673079,37.5926208948876,68.6053009,8176.516154654421,8173.133190384786,45.01956643525126,105.75776670000002,106.39414440000002,72.67629438118959,31.69478253,32.45417794,27.94877106,16527.639769999998,274.8298932,45.06682032,1.39591301,1.33,64.49285623,65.0,55.05284601,32.77806877,32.80954507,28497.0,28512.0,32.81399442,50.0,1.33,52.590019700000006,50.0,28.11689382198221,84.92098999,74.0,79.2,74.192097,321.9536731,57.73235273,263.6,91.98680192,6332.477443,6325.00379,31.00899196,0.88,51.27035112,262.7783508,284.18820189999997,55.29220581,60.42282696,0.731593265,2.54554204,328.41479489999995,300.0129395,300.0,41.39871447,58.0,57.0,57.42549481,265.5,315.4592293,316.3696867,34.79461602,130.0324535,66.41220093,21.41625977,82.59386637,80.0,25.80424917,270.0690613,270.0,31.67130756,102.876209,102.0,44.09230682,4.406743561,4.4087834489999995,39.9921685,61.71273804,177.4739685,33.59753418,172.35672,20.65870934,20.0,56.49026479,12.35553438,130.0797563,276.44156039999996,276.5,51.68460761,40.0,60.5,111.97795729999999,156.8560883,1.0999242867881485,1.9587556247762778,19.365182067986915,2.4300382443980033,1.7148957229851622,500.600010466937,115.64615213461613,45.79518308640206,0.5571953472822228,61.7,-0.020642087008299784,-1.0,1.7025869316410154,45.264529110333044,0.5505295967517346,64.8,0.1,-1.0,58595.605,153.41396,42865.555,112.22981000000001,1273.0
275.0,89.0,86.29978642,1.20238587,4.118612957,2.496230508,279.3630066,282.3778992,3.014892578,32.52613918,14.54601607,17.96781226,0.5499873789999999,275.0,89.0,86.55395109999999,1.294007138,0.574107579,2.071294642,278.64883419999995,281.52896119999997,2.880126953,56.3546304,40.06586689,16.0,0.554462724,550.0,25.943550967135245,263.2224121,321.1067097,74.00554448,0.8784115709999999,4.3,265.4492067,57.87130425,4.3,190.0,95.0,39.7059213,284.52359010000004,68.0,8.048510154,35.54937239,38.790523605323756,70.70500946,7740.058295308348,7742.130353661582,43.21896613482583,98.75370281,98.71137428,72.62798805154254,30.16509213,30.11064682,27.54290097,15365.62958,256.1496881,43.78677082,1.3929541019999998,1.33,64.80475326,65.0,51.33816805,33.05276178,33.02655577,28443.0,28440.0,33.04495765,50.0,1.33,49.78077916,50.0,25.855351970222756,88.30395508,74.0,79.0,74.0022815,321.2418967,55.21851214,263.3,91.78086791,6317.514654,6312.932014,31.17441674,0.88,51.26059847,262.5119324,283.8976135,55.25215912,60.73236777,0.684069193,2.524232744,329.1860962,299.92276,300.0,40.99884842,58.0,49.1280479,57.87213623,265.5,314.9880644,315.6292787,31.59446424,126.18303300000001,66.41442871,21.18484879,82.13246267,80.0,59.34584613,269.9578552,270.0,30.90230607,101.6933525,102.0,42.66779714,4.269964894,4.267315143,38.97866331,63.25622559,177.5820313,33.1427002,172.33517460000002,20.78771355,20.0,53.00689146,12.36795727,129.9881701,276.5064765,276.5,53.02191139999999,40.0,59.5,112.41478640000001,156.55572969999997,1.07,1.9933293500757943,19.079920961345042,2.5569290387298858,1.707598043203418,517.1998160854141,115.75168900121635,45.36577937108502,0.5567758358173267,63.2,-0.1,-0.9,1.689166073697294,44.76277241594909,0.5555841742365677,63.2,-0.0960731579984794,-0.9,58477.3,153.1042,43040.0,112.68655,1219.0
275.0,89.5,85.59559716,1.100850598,3.251318,2.480879275,279.3183899,282.1991882,2.88079834,33.31481081,14.82763504,18.48967279,0.559213567,275.0,91.0,85.63386112,1.321326741,1.123526546,4.014536755,278.5818787,281.23861689999995,2.656738281,53.9363441,38.37598701,16.0,0.549925865,550.0,27.010410302907307,263.42227169999995,322.3265756,74.55943091,0.878113971,4.3,265.7107093,57.64146601,4.3,190.0,95.0,40.22804706,284.47885130000003,67.5,7.983443727999999,35.3078533,38.498739058011,68.04478455,8302.575738630198,8286.174543384206,45.50934516789782,109.1869298,109.3361155,72.7766251759951,33.47265939,33.40949825,31.48461239,17029.55246,295.5495793,39.10540004,1.3887826159999999,1.33,65.90839918,65.0,56.39539599,34.70392108,34.71399959,28364.0,28368.0,34.7075431,50.0,1.33,48.55727196,50.0,22.919476148838047,86.58050537,74.0,78.8,74.56085108,322.4986931,58.17699205,263.6,92.14250921,6296.22804,6298.958016,30.90983864,0.88,51.22532351,262.3565369,284.34475710000004,55.31001282,58.72357397,0.539174343,2.450454369,328.14257810000004,299.96774289999996,300.0,40.81412706,58.0,50.33662747,57.65067943,265.5,314.0395134,314.9826876,23.82966067,129.9879551,66.42778015,21.04244232,82.94141365,80.0,33.35834015,269.980072,270.0,33.21710988,101.8227755,102.0,43.17014999,4.315877578,4.3170149989999995,39.11367291,62.02554321,177.40914919999997,31.28262329,172.2272949,19.00884718,20.0,56.43423909,12.24193223,130.010997,276.5865687,276.5,52.54374519,40.0,59.5,114.0188903,157.4211114,1.09,1.9887590117764085,18.99864047711195,2.5378173578930916,1.7200226207768918,529.7998223629551,115.81359100322727,45.97991573991703,0.562,63.3,0.1,-0.9,1.6920114952327492,45.44143856772854,0.5589999999999999,64.1,0.1,-1.2,58828.16,154.02281000000002,43657.27,114.30266599999999,1286.0
275.0,83.0,86.12388444,1.35843819,4.284435669,3.641230077,279.2068176,281.9310608,2.7242431639999998,31.73731773,14.03949165,17.71614184,0.549797662,235.0,55.7,78.72593413,1.361165634,3.1677285210000004,7.055389402,278.1579285,279.6086121,1.450683594,55.85939898,41.47707461,14.0,0.5545150839999999,510.0,40.0,261.9791565,316.12684900000005,73.58630037,0.880708301,4.3,265.31178700000004,57.78233838,4.3,190.0,105.0,40.30922206,284.52359010000004,64.7,7.996813361,35.15613383,31.70969952368852,67.38195801,7380.183019074215,7374.823395535093,42.01316431190184,95.40232836,95.03893395,70.58687940993816,29.76379073,28.9904157,26.9234173,14794.30275,248.247558,43.20768904,1.392653694,1.33,65.93052651,65.0,49.33106308,31.58361135,31.57931091,26124.0,26136.0,31.60464872,50.0,1.33,54.60121426,50.0,20.323596193901153,87.77841187,74.0,72.6,73.58495626,316.0578416,48.86869867,262.2,90.30227208,5812.203508,5798.664616,29.48242789,0.88,48.85267467,261.2467957,281.52896119999997,55.29220581,60.27379315,0.340733403,2.3804415519999997,328.05187989999996,299.96774289999996,300.0,41.14802967,58.0,38.91788702,57.78416196,265.5,289.8054315,290.0733981,25.60315288,106.64671899999999,66.38994598,21.576463699999998,78.7329944,80.0,51.23580656,269.82431030000004,270.0,32.2353856,101.3635318,102.0,42.42899791,4.233482245,4.243193421,41.63410833,65.00921631,177.75491330000003,32.1505127,172.8313904,20.08824135,20.0,50.60519692,12.40293613,129.9101196,276.4401666,276.5,50.57102461,40.0,54.8,122.99773470000001,168.1501885,1.07,1.6,20.0,4.6,1.3,363.6839961815622,115.68217298722685,43.5,0.5571628605961948,62.3,0.2,-0.8,5.4,43.2,0.5511147747477738,64.2,0.1,-0.7,58213.125,164.36647,43669.645,123.30253,1133.0
275.0,83.5,86.14709067,1.3679000280000002,2.650780856,3.3926580889999998,279.6755676,282.28848270000003,2.612915039,32.47639472,14.45278238,18.01603821,0.558899877,235.0,59.0,83.29731446,1.492734224,3.2371066330000002,4.5628724069999995,278.7157898,280.6355896,1.919799805,63.83516524,47.355669899999995,16.0,0.570362677,510.0,40.0,261.9125671,317.36839260000005,73.95616122,0.88109177,4.2,264.7464864,57.75662636,4.2,190.0,100.0,43.10022004,284.5012512,65.0,7.974266244,35.31921869,35.26907649298913,69.89981842,7733.377062691199,7717.29104152874,43.24002359579346,104.4556248,104.07207740000001,71.88491882485492,32.13701031,31.745860999999998,28.20641892,16202.59666,272.77320110000005,45.05812988,1.3923311230000002,1.33,65.81899898,65.0,53.71950276,31.5627576,31.57495004,26784.0,26820.0,31.62924025,50.0,1.33,54.43464598,50.0,25.9553155208772,81.66738892,74.0,74.5,73.95586223,317.7135651,51.93731074,262.5,90.77547257,5826.763346,5810.203211,29.70272759,0.88,49.10050347,260.603363,281.9980774,55.26551056,58.55881422,0.320819872,2.371407525,326.94079589999996,299.7879333,300.0,41.70004405,58.0,44.40437545,57.74586187,265.5,290.9553805,290.611827,20.69598657,113.321991,66.33876801,21.50526047,81.63262862,80.0,62.85435073,270.224823,270.0,33.56352179,103.069551,102.0,41.5219009,4.1454354019999995,4.151883801,39.01563054,61.0663147,177.36593630000002,31.42727661,172.3783264,19.27600255,20.0,51.58379153,12.42197003,129.9658425,275.8355123,276.5,46.51953982,40.0,57.7,122.8275307,168.7720737,1.0960906716888166,1.9862066669075606,18.987168435254134,2.54307064837063,1.7190338154664409,471.19982904689215,115.83231364089987,45.89280049124604,0.5570339115570074,62.8,0.3,-1.1,1.7067366824961003,45.33923548394333,0.5516073705961845,64.2,0.2,-1.0,58446.12,165.02434,43607.265999999996,123.126396,1125.0
275.0,82.0,84.06385177,1.175841473,3.9765117169999997,3.4769415830000003,279.0729065,281.5959778,2.523071289,32.57098374,14.76340155,17.84023634,0.54762349,275.0,68.5,87.74149911,1.281635722,1.791907579,5.421117388,278.224823,275.8605652,-2.364257813,73.31544112,56.12020959,17.0,0.5608581970000001,550.0,26.51582393211121,263.7331543,321.9010276,74.51937915,0.8803299090000001,4.3,265.5451082,57.98423319,4.3,190.0,120.0,46.04814816,284.47885130000003,65.5,8.072516421,35.17839139,38.85605312668721,69.18360901,8762.045400309647,8765.35233836937,48.71198645037878,110.2574781,110.6394418,73.45415829673456,35.18221363,35.24944061,30.01953905,17954.623030000002,333.48217569999997,39.95862151,1.389027367,1.33,65.38297667,65.0,59.64059507,34.30206737,34.3259671,28371.0,28368.0,34.30107699,50.0,1.33,47.27155599,50.0,22.128935560883658,88.89263916,74.0,78.8,74.51937915,322.43042060000005,58.86059839999999,264.0,92.12301554,6269.15571,6275.820494,30.71677079,0.88,51.43072648,263.133606,284.2552795,55.28330994,60.36042907,0.8861822909999999,2.632890571,326.986084,299.99014280000006,300.0,41.68945547,58.0,50.23247434,57.98423319,265.5,312.3806952,313.7983897,27.70357648,161.0280228,66.31429291,21.04244232,81.08209833,80.0,5.625676459,270.1358337,270.0,36.88450453,101.5473311,102.0,44.95970687,4.49960312,4.496452435,45.59898575,64.46652222,179.9815979,34.50741577,174.0615845,19.76725365,20.0,53.08668031,11.30789032,130.0818391,276.5109217,276.5,49.86783909,40.0,65.0,113.2646054,157.36604340000002,1.08,1.9973573212963105,18.7246770397152,2.557281723502771,1.7465343033173923,529.7998369973234,115.63095488395149,46.7,0.5564218106409567,61.3,0.6,-1.2,1.6896496108933527,46.0,0.5541387733544261,62.1,0.3,-1.1,58802.72,153.9562,43363.4,113.53326399999999,1146.0
275.0,82.5,85.28567708,1.4018789669999998,3.649313533,3.0613534089999996,279.7201843,281.9980774,2.277893066,34.57699946,16.0324196,18.551119,0.564753897,275.0,74.5,91.00103153,1.427687386,1.866158465,5.535916671,278.9165955,276.2842102,-2.632385254,77.09413841,59.01704565,18.0,0.5689527120000001,550.0,25.91572109931964,263.71096800000004,322.8239164,73.71854921,0.88099409,4.3,265.5548732,57.71091035,4.3,190.0,120.0,42.73292464,284.5012512,65.0,7.984145966,35.9730232,38.85028274385562,69.31262207,8793.401163241522,8796.60147902665,49.01903072418961,111.3972797,111.40865259999998,73.68212651519477,34.80975202,35.56984269,30.20511494,18019.36455,356.0127907,40.04297809,1.388193016,1.33,65.03797565,65.0,59.98136359,34.96310403,34.96653587,28808.0,28800.0,34.95407498,50.0,1.33,47.08006879,50.0,23.882085293335788,93.10070801,74.0,80.0,73.71644595,322.82747939999996,60.20470067,264.0,92.23646408,6370.038885,6370.071658,30.86818524,0.88,52.23358536,263.3556519,284.1211243,55.28330994,60.51787081,0.8396751370000001,2.6039633159999998,327.5302734,300.03540039999996,300.0,41.98706784,58.0,53.58507542,57.71384614,265.5,316.76552799999996,318.4818461,20.48161002,165.96773149999999,66.31651306,21.54086876,80.20493539,80.0,2.60053242,270.2471008,270.0,37.12707693,101.56715150000001,102.0,48.42735535,4.846373838,4.842712654,47.02048664,63.40228271,180.1113281,31.75787354,174.3421936,19.92940013,20.0,52.3688088,10.40579189,129.95708359999998,276.5566893,276.5,60.93661824,40.0,78.0,112.7695618,156.1207167,1.0930969986712589,1.9739201830751705,19.215685507261608,2.484892450795039,1.7132993168203878,490.79971561870394,115.71342865734158,46.00389647253932,0.556,60.7,0.3,-0.7,1.696832213190829,45.41875584547647,0.556,63.0,0.2,-0.6,58296.33,152.63038999999998,43170.44,113.02807,1146.0
275.0,84.0,87.20877311,1.298646785,3.742615787,2.685748471,279.8094788,281.0152893,1.205810547,39.72046989,19.24995979,20.49808619,0.587574162,275.0,76.5,90.84626432,1.3483382959999999,1.654548885,4.764483535,278.8943176,276.12814330000003,-2.7661743160000003,71.53753673,54.17270216,17.0,0.562817841,550.0,27.70466879459928,264.57720950000004,321.68656739999994,73.77335968,0.8796464270000001,4.3,264.796137,58.69170188,4.3,190.0,120.0,38.03432207,284.4565125,66.5,8.009986569,33.86283292,38.682483095374856,70.37580109,8682.272599497155,8676.471713722385,48.107917106944996,109.40994679999999,109.56500770000001,73.53061051928694,34.24125496,34.84418701,29.6567522,17723.020940000002,348.404612,37.1186995,1.3888604740000001,1.33,64.74403747,65.0,59.05696247,33.80710309,33.80949897,27717.0,27720.0,33.81142517,50.0,1.33,50.44516512,50.0,23.666427714182458,92.06921387,74.0,77.5,73.77043979999999,320.8222692,54.7788034,264.0,91.66334014,6106.948139,6129.426665,30.38751509,0.88,51.16724648,264.466095,284.41177369999997,55.31445694,59.99770689,1.137738723,2.719591574,329.8214111,299.92276,300.0,39.13984827,58.0,54.24463751,58.70499177,265.5,301.20178569999996,306.5222815,27.87666312,168.5265923,66.32096863,21.58536911,76.60326919,80.0,17.35327934,269.9355164,270.0,36.11828895,103.841539,102.0,47.43386245,4.7298230310000005,4.743252486,45.78436844,62.02554321,180.2627563,32.60525513,174.6660156,19.2751199,20.0,57.10094087,9.912851688,129.9412168,275.4437539,276.5,55.83741466,40.0,85.0,112.35243559999999,156.20692069999998,1.0942757470725681,1.9917487469782291,18.991753921339125,2.5627618299156416,1.7127838085930254,493.7996846922958,115.73036784762603,45.134516652626786,0.5529999999999999,61.8,0.4,-0.4,1.7037904643882005,44.51690529892472,0.5589999999999999,60.4,0.3,-0.5,58330.848,152.72076,43006.04,112.597626,1123.0
